id,construct,dimension,dimension_description,indicator,text
syn_0123,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My free time is spent mentally writing emails to teachers explaining why I need extensions, even when I haven't asked for one yet. I'm rehearsing failure."
syn_0124,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I look at the clock and see it's 10 PM. I should be asleep. Instead, I'm thinking about the chemistry lab I have to write up tomorrow. The cycle never ends."
syn_0125,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"During lunch, I'm not eating. I'm listing all the things I have to do after school. My friends talk about movies; I'm mentally highlighting textbook chapters. I'm not there."
syn_0126,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The second I get home from school, I sit down and start the next day's reading, even before dinner. I don't know how to NOT be working. The guilt of resting is too much."
syn_0127,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was on a phone call with my cousin, and I realized I hadn't heard the last two minutes because I was figuring out my class schedule for next semester. Again."
syn_0128,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My 'relaxation' is just switching between different school subjects in my head. History facts, math formulas, essay structures—it's a non-stop parade of curriculum."
syn_0129,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I walked the dog for 20 minutes and didn't see a single bird. I was staring at the pavement, mentally reorganizing my binder. The world outside my textbooks is blurry."
syn_0130,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My therapist asked what I think about when I'm not in school. I couldn't answer because the answer is always school. It's the only channel my brain tunes into.
syn_0131,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The moment a class ends, I'm not relieved. I'm anxious about the next one and what I have to do for it. Recess isn't a break; it's a planning period."
syn_0132,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I have a perfect attendance record for my own mental lectures. Even at the dinner table, I'm giving myself a presentation on the causes of the French Revolution."
syn_0133,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My weekends are a blur of 'I should be studying' and 'I can't study because I'm too tired to think.' The brooding is the only constant.
syn_0134,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,I set aside an hour to play guitar. I played three chords and then started thinking about the graph I had to make for economics. The guitar is gathering dust.
syn_0135,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My phone's 'screen time' report shows I spend 0 hours on social media during study breaks. That's because I just switch tabs from my textbook to my assignment portal, still 'working.'"
syn_0136,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I'm on vacation, looking at the ocean, and I'm not feeling awe. I'm feeling guilty that I'm not reviewing my notes. The scenery is just a backdrop for my anxiety."
syn_0137,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My head is a browser with 50 tabs open, all to school-related articles and past assignments. I can't close any of them. The 'X' button is broken."
syn_0138,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I scheduled a 'do nothing' afternoon. I achieved nothing, but I also didn't relax because I was the entire time thinking about the nothing I was supposed to be doing for school."
syn_0139,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My little brother asked me to play catch. I said yes, but I spent the whole time planning my history outline in my head. He probably thinks I'm a terrible player."
syn_0140,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I used to love reading for fun. Now when I pick up a book, I start analyzing it like a text for English class. I can't separate 'for school' from 'for me.'"
syn_0141,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,The bell rings for the last period. I don't feel joy. I feel dread because 'free time' just means the work I have to do at home is now my mental companion.
syn_0142,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a party, and someone told a joke. I smiled, but my brain was back in the classroom, wondering if the teacher would curve the last test. I'm always in two places."
syn_0143,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My calendar has no white space. Every free block is pre-occupied mentally with the task due in the next block. There's no room for spontaneity or real rest.
syn_0144,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,I took a drive with no destination. Just me and the radio. But the radio was just background noise to the soundtrack of me worrying about my GPA. I turned around after 10 minutes.
syn_0145,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My 'me-time' is me time-managing. I schedule 30 minutes to stress about the project, 30 minutes to stress about the test. It's a meticulously organized anxiety."
syn_0146,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was helping my dad in the garden, and I was so distracted, I planted a flower in the wrong spot because I was mentally outlining my philosophy essay. He didn't notice, but I did."
syn_0147,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The worst part is the Sunday night simulation. All day Saturday and Sunday, my brain runs a simulation of Monday's schedule, and by Sunday evening, I'm already exhausted from the week that hasn't happened."
syn_0148,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I have two modes: active schoolwork, and passive schoolwork brooding. There is no 'off' mode. Even in the shower, I'm solving algebra problems in my head."
syn_0149,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My friends share memes. I share internal monologues about assignment deadlines. I'm becoming a person who can only talk about the work I'm not doing while I'm not doing it.
syn_0150,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,I snapped at my little brother last night because he was loud while I was trying to finish a project. My mom told me I’m always irritable and that school is changing me. I just feel like I don’t have the energy to be a good sibling right now.
syn_0151,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I had to miss my best friend’s birthday party because I had three assignments due the next day. She understood at first, but now she barely texts me. I’m starting to think I’m prioritizing school over the people I love, and it sucks."
syn_0152,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dad keeps asking why I’m so distant. I just sit in my room studying all weekend. He doesn’t get that if I don’t keep up, I’ll fall behind. It’s causing tension, and I don’t know how to explain it without sounding lazy."
syn_0153,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I keep canceling dinner with my grandparents. They’re getting older, and I feel terrible, but the workload is relentless. Last time I canceled, my grandma sounded so disappointed. The guilt is eating me up, but I just can’t step away."
syn_0154,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My boyfriend says I’m not present anymore. We’ll be on the phone, and I’m just thinking about my upcoming exam. He thinks I don’t care. How do I tell him that my brain feels full all the time and there’s no room for anything else?"
syn_0155,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"Family game night is every Friday, but I’ve been skipping it to study. My sister asked if I even like spending time with them anymore. I do, I really do, but the pressure to maintain my grades feels like a constant weight."
syn_0156,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I forgot my cousin’s graduation. I was so buried in finals. My whole family is upset. I promised I’d be there, but in the moment, studying felt more urgent. Now they see me as unreliable, and I don’t blame them."
syn_0157,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My parents fight about my schedule. Mom says I work too hard and need a break. Dad says I’m not working hard enough. I’m caught in the middle, and their stress over my stress is making our home feel tense."
syn_0158,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I was supposed to help my mom move this weekend, but I have a big paper due. She said, ‘School is more important than family, I guess.’ That stung. I want to help, but the thought of falling behind terrifies me more."
syn_0159,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My friends have stopped inviting me out because I always say I have to study. They joke that I’m a hermit. It’s funny until I realize I’m actually isolating myself to keep up, and it’s costing me my social life."
syn_0160,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My little sister drew me a picture and left it on my desk to cheer me up. I saw it, but I was so focused on my notes that I didn’t even say thank you properly. She looked so sad. I’m failing her, just like I’m failing everyone else."
syn_0161,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I haven’t called my grandma in two weeks. She leaves voicemails, and I tell myself I’ll call back after I finish this chapter. But there’s always another chapter. She probably thinks I don’t love her anymore."
syn_0162,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dog looks at me with those sad eyes when I ignore him to study. My mom says he mopes. I feel like a terrible pet owner, but the thought of taking a walk feels impossible when my to-do list is this long."
syn_0163,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"We had a family dinner, and I was quiet the whole time, just thinking about my upcoming test. My dad asked if something was wrong, and I just said I was tired. But it’s more than tired—it’s like I’m not even there anymore."
syn_0164,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My best friend got into her dream college and wanted to celebrate. I was happy for her, but I also felt this huge wave of envy because I was too stressed to even enjoy it. She noticed I wasn’t enthusiastic. I’m becoming a bad friend."
syn_0165,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I told my mom I couldn’t visit my sick aunt because of midterms. She said, ‘Family comes first, not school.’ I argued that school *is* my future, but now I’m wondering if I’m losing my family in the process."
syn_0166,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My roommate complains that I’m always in the library. He says our apartment feels empty. I try to explain that if I don’t put in the hours, I’ll drown. But he doesn’t see that I’m drowning even when I’m here, studying."
syn_0167,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,My niece’s ballet recital was today. I promised I’d be front row. I got stuck helping a classmate with a problem set and missed it. My sister hasn’t answered my texts. I don’t know how to fix this; I just feel constantly pulled in one direction.
syn_0168,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I used to have weekly coffee with my uncle. Now I cancel every time. He called me selfish. It hurt, but explaining that I have a paper due every week sounds like a weak excuse. Maybe it is an excuse. I don’t know anymore."
syn_0169,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,My little cousin asked if I remembered his name. I blanked. I’ve seen him three times this month and was always on my phone reviewing flashcards. He walked away looking confused. My own family feels like strangers because my head is somewhere else.
syn_0170,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My parents are planning a weekend trip, but I have a lab report due Monday. They’re upset I won’t go. They say I’m missing out on life. But if I don’t do this report, my grade tanks. It’s a no-win situation for my relationships."
syn_0171,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I was on a call with my grandparents, and I realized I was just nodding without hearing a word they said. My mind was on my calculus final. I hung up and felt sick. They deserve my full attention, but I feel like I have none left to give."
syn_0172,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My sister tried to talk to me about her day, and I gave one-word answers because I was mentally editing my essay. She got mad and said I never listen anymore. She’s right. My brain is always on school mode, and it’s pushing everyone away."
syn_0173,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I missed my parents’ anniversary dinner. They said it was fine, but I could hear the disappointment. They worked hard to afford it, and I chose to study instead. Now there’s this quiet space between us that I don’t know how to bridge."
syn_0174,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My friends went to the concert without me. I said I had to study, and they said, ‘Again?’ They don’t get that if I skip one study session, I feel like I’m falling behind. But now they’re not inviting me at all. It’s a lonely cycle."
syn_0175,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My mom made my favorite meal, and I ate it quickly in front of my laptop. She asked if I even tasted it. I didn’t. The pressure to finish my reading made me rush through a moment that should have been nice. I’m hurting her without even trying."
syn_0176,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My cousin’s wedding is next month, and I’m already dreading it because I’ll have a midterm the next day. I told my family I can’t go. They think I’m making excuses. How do I explain that the thought of missing class causes more anxiety than missing the wedding?"
syn_0177,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dad keeps saying, ‘You’re young, you should be having fun.’ But when I try to relax, all I can think about is the paper I haven’t started. So I go back to my desk, and he shakes his head. It’s like we’re speaking different languages."
syn_0178,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I forgot to wish my friend happy birthday until two days later. She was upset. I was in the middle of a group project and lost track of time. She doesn’t understand that my sense of time is completely warped by deadlines. I feel like a forgetful, selfish person."
syn_0179,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My brother asked me to teach him how to ride a bike. I said maybe next weekend. That was three months ago. He doesn’t ask anymore. I keep promising myself I’ll make time, but the school pressure just swallows every free moment."
syn_0180,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"We had a family Zoom call, and I was the only one with my video off because I was in my messy room surrounded by books. My aunt asked if I was okay. I said fine, but it was embarrassing. My family sees my chaos, and I feel like I’m letting them down."
syn_0181,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My mom left a note on my coffee cup saying she missed me. I saw it after an all-nighter. I wanted to cry. I miss her too, but the pressure to perform makes me hide in my room. I’m choosing school over her, and it breaks my heart."
syn_0182,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I ignored my friend’s text about her breakup because I had a deadline. She needed me, and I was cold. When I finally replied, she said, ‘You’re not the same person anymore.’ I don’t know who I am if not the stressed student who neglects everyone."
syn_0183,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My grandparents are visiting from out of state, and I’m spending most of the time in my room reviewing for finals. My mom whispered that they think I don’t like them. How do I say that the fear of failing is louder than my desire to be with them?"
syn_0184,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I was supposed to go to my sister’s soccer game. I stayed in to study. She scored the winning goal, and I wasn’t there to see it. She’s proud, but I know she’s hurt. That moment is gone forever, and I chose a textbook instead."
syn_0185,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My boyfriend’s family invited me to their holiday dinner. I said no because of finals week. He didn’t argue, but his silence was loud. I’m building a wall of books between us, and I don’t know how to tear it down."
syn_0186,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dad tried to talk to me about his job loss, and I was mentally drafting an essay response. I gave vague answers. He said, ‘You’re not listening.’ He’s right. My exhaustion has made me a terrible listener, and he needed me to be present."
syn_0187,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I haven’t seen my best friend in person in two months. We keep making plans, but something always comes up with school. She says I’m ‘too busy for her now.’ It’s true, and saying it out loud makes me feel like the worst friend ever."
syn_0188,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My little sister baked cookies and brought them to my room. I was annoyed because I was in the zone studying. I snapped at her to leave. She cried. I immediately regretted it, but the irritation was real. I’m becoming someone who pushes people away."
syn_0189,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,My mom asked if I remembered what her favorite flower is. I couldn’t. I’ve known her my whole life. But my brain is so full of formulas and dates that trivial facts are getting pushed out. She just sighed. I hate that I’m making her sad.
syn_0190,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I skipped my grandpa’s 80th birthday party to study for a quiz. My family is furious. They say it’s just one quiz. But to me, one bad quiz feels like the end of the world. Now they see me as someone who values grades over people."
syn_0191,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My friend group has a group chat that’s dead because I never respond to their memes. They’ve stopped trying. I keep thinking, ‘Just one more chapter,’ but that ‘one more’ is always there. I’m fading out of their lives by choice, almost."
syn_0192,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My mom cried because I forgot to call on her birthday. I was in the library, stressed about a presentation. I didn’t even realize the date until it was too late. Her disappointment is a weight heavier than any assignment."
syn_0193,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I was on a date, and I kept checking my phone for a grade that was supposed to post. My date asked if I’d rather be elsewhere. I said no, but my actions said yes. I’m ruining potential relationships because school is my only priority."
syn_0194,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My aunt is in the hospital, and my family is taking turns visiting. I’m staying home to study for a final. They say I’m heartless. But if I fail this class, my scholarship is gone. It’s a terrible choice, but I feel forced to choose school."
syn_0195,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My little cousin asked me to play dolls. I said I couldn’t because I had homework. She said, ‘You always say that.’ She’s five, and she’s already noticed I’m never available. What kind of role model am I becoming?"
syn_0196,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My parents are arguing because my mom thinks I’m working too hard and my dad thinks I’m not. I’m the source of their fight now. All I want is to sleep, but if I stop, I’ll never catch up. My entire family is suffering because of my load."
syn_0197,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I was supposed to go hiking with my friends. I bailed last minute because I had a paper due. They went without me. Now they’re posting pictures, and I feel both relieved to have the time to work and devastated to be left out. I’m doing this to myself."
syn_0198,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My grandma’s health is declining, and my family wants me to visit. I have finals. They say this is more important than grades. But if I bomb finals, my future is at risk. I’m paralyzed, and the strain is tearing my family apart."
syn_0199,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,My dog whines at the door to go for a walk. I tell him ‘in a minute’ every day. He’s given up asking. My mom says he’s depressed. I’m so focused on my own stress that I’m neglecting a living being who depends on me. It’s a low point.
syn_0200,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I just stare at the textbook. I used to highlight things, but now I can't even pretend to care. What's the point of memorizing this if I'll forget it in a month? I hand in assignments just to avoid the nagging, not because I want to learn."
syn_0201,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My alarm goes off and my first thought is, 'Why bother?' Going through the motions feels so pointless. I'm just waiting for the bell to ring so I can go home and do nothing. Is this really all there is for the next four years?"
syn_0202,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"Every time a teacher says 'this will be important for your future,' I want to laugh. How is learning about the War of 1812 going to help me? I'm starting to think the whole thing is just a game we're forced to play."
syn_0203,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to get a rush from a good grade. Now, an A feels empty. I'm just collecting points to pass. The passion is completely gone. Sometimes I wonder if just quitting and getting a job would be more honest."
syn_0204,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I can't motivate myself to start big projects. I wait until the night before and do a half-hearted job. It's like I'm punishing myself for being here. Part of me hopes I fail so I have a real reason to stop.
syn_0205,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,Seeing my friends stressed over AP classes makes me tired. I just don't have that drive anymore. I'm taking the easiest classes next year. Why push myself for a piece of paper that might not mean anything in the end?
syn_0206,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My notebook is full of doodles because I can't focus on the lecture. The teacher's voice is just background noise. I keep thinking, 'I could be doing something that actually matters.' School feels like a waste of my time."
syn_0207,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I don't even open my backpack when I get home. The pile of unfinished work just sits there. I've stopped feeling guilty about it. What's one more missed assignment in the grand scheme? Nothing changes.
syn_0208,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"College brochures look like fake promises. Everyone says 'it gets better,' but I don't see how more school is the solution. Maybe I'm just not cut out for this. Maybe it's time to admit I don't want this path."
syn_0209,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"The first thing I do each morning is calculate how many hours until the weekend. Every class is a countdown. I'm not learning, I'm just enduring. I don't know what I want, but I know this isn't it."
syn_0210,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My parents ask about my grades and I just shrug. I don't have the energy to pretend I care. They think it's laziness, but it's deeper. It feels like everything we do is meaningless, just jumping through hoops."
syn_0211,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to love reading. Now I can't get through a chapter without checking my phone. School has killed my curiosity. I just do the minimum to get by and then zone out. What happened to wanting to understand things?
syn_0212,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,Group projects are the worst. I let everyone else do the work because I can't muster the effort. I'm that person now. The one who holds the group back because I just don't see the point in trying.
syn_0213,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I look at my schedule and it's just a grid of obligations. No passion subjects, just requirements. I'm going through the motions like a robot. My only goal is to survive until June. Is that really what education is about?"
syn_0214,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"When the counselor asked about my plans, I had no answer. I used to have dreams. Now I just think, 'Why plan for a future that feels like a longer version of this?' It's easier to not think about it at all."
syn_0215,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to take pride in my work. Now I cringe when I look at my old projects. It all feels so performative. I'm writing essays to please a grader, not to express an idea. The whole system feels hollow."
syn_0216,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,The thought of a pop quiz makes me want to skip class entirely. I haven't studied in weeks. It's not that I'm scared of failing; I'm almost hoping for it. A failing grade would justify how I feel.
syn_0217,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My teacher talked about 'lifelong learning' and I almost snorted. The only thing I'm learning is how to tune out. I'm not expanding my mind; I'm shrinking it to fit the mold. What's the value in that?
syn_0218,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,I used to compete for top of the class. Now I'm just trying to stay above water. The competition feels dirty and pointless. Everyone is so focused on the finish line they forget why we're even running.
syn_0219,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My desk is a mess of half-finished worksheets. I start things with a tiny bit of energy and then the interest evaporates. Why finish something that won't change anything? The effort feels wasted before I even begin.
syn_0220,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I don't participate in class anymore. What's the point of raising my hand? The answers are predetermined. We're not exploring, we're regurgitating. I'd rather stay silent than play the game."
syn_0221,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My friends are talking about colleges and I'm quietly panicking. I don't even want to go. The idea of more school is suffocating. But saying that out loud makes me seem like a failure.
syn_0222,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I look at my report card and see numbers, not a reflection of me. I don't feel proud or ashamed. Just numb. These grades don't tell you if I'm curious or kind or creative. So why do they matter so much?"
syn_0223,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I've started calling school 'the daily grind.' It's accurate. It's just something I have to get through. The idea of 'learning for learning's sake' is a joke here. It's all about the GPA, the transcript, the next step."
syn_0224,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My pencil barely touches the paper during note-taking. I'm physically present, mentally gone. I've mastered the art of looking busy while thinking about absolutely nothing. The effort to engage is too high."
syn_0225,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,The phrase 'you'll use this someday' has lost all meaning. I feel like I'm storing information for a test I'll never take. My motivation tank is on empty. I'm just coasting on fumes until I can graduate.
syn_0226,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to ask 'why' in class. Now I keep my mouth shut because the answer is always 'because it's on the test.' The curiosity is gone, replaced by a cynical understanding that this is just a transaction."
syn_0227,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"My planner is full of blank spaces where assignments should be written. I can't even bring myself to track the work anymore. If I don't write it down, maybe it won't exist. That's how little I care."
syn_0228,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"Honestly, I think about dropping out at least once a week. Not because I hate learning, but because I hate *this*. The pressure, the irrelevance, the constant evaluation. What's the cost of my sanity?"
syn_0229,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I used to underline key sentences. Now I just circle paragraphs randomly to make it look like I tried. The act of trying feels so performative. I'm playing the student role, but the person inside has checked out."
syn_0230,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"The bell rings for lunch and I feel no relief. It's just a break before the next round. There's no joy in the routine, only resignation. I'm existing in a system I no longer believe in."
syn_0231,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,My parents' proudest moment is my acceptance to this school. I feel like a fraud. I don't have the fire they think I have. I'm just going through the motions to avoid disappointing them.
syn_0232,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",low motivation / thoughts of giving up,"I don't review for tests anymore. Why cram knowledge I'll discard? My attitude is 'whatever, I'll see what happens.' It's a strange kind of peace, but it's also the death of ambition."
